,gw total (s),gw average (s),fgw total (s),fgw average (s),wasserstein total (s),wasserstein average (s),pfGW total (s),pfGW average (s),pGW total (s),pGW average (s),pW total (s),pW average (s)
heated_cylinder,1014.6101722717285,10.146101722717285,642.5448634624481,6.425448634624481,166.22519850730896,1.6622519850730897,512.3025839328766,5.123025839328766,177.58443665504456,1.7758443665504455,145.10349774360657,1.4510349774360656
red_sea,53.09311056137085,0.5309311056137085,24.97797155380249,0.24977971553802492,18.340080499649048,0.18340080499649047,28.605802059173584,0.28605802059173585,28.284102201461792,0.2828410220146179,16.57673144340515,0.16576731443405152
navier_stokes,27.753630876541138,0.27753630876541135,13.031601667404175,0.13031601667404175,18.366689920425415,0.18366689920425416,17.832030296325684,0.17832030296325685,14.583408117294312,0.1458340811729431,11.76207160949707,0.1176207160949707
tangaroa,37.33500123023987,0.37335001230239867,35.05556893348694,0.35055568933486936,23.202397108078003,0.23202397108078002,29.30567193031311,0.2930567193031311,25.238882064819336,0.25238882064819335,20.93544840812683,0.2093544840812683
wind,34.774120807647705,0.34774120807647707,11.81725263595581,0.1181725263595581,8.073045253753662,0.08073045253753662,9.839390754699707,0.09839390754699708,12.868221998214722,0.1286822199821472,7.915257215499878,0.07915257215499878
